Clinic ID,Name,Website,Address,Phone
Page 1 No 1,1066 Veterinary Centre,,"201 Battle Road, St. Leonards-On-Sea, East Sussex, TN37 7AJ",01424 839 010
Page 1 No 2,387 Veterinary Centre,https://www.387vets.com,"387 Walsall Road, Walsall, Staffordshire, WS6 6DP",01922 411755
Page 1 No 3,Abbeycroft Veterinary Centre,https://www.northwich-vets.co.uk/,"38 Station Road, Northwich, Cheshire, CW9 5RA",01606 40332
Page 1 No 4,Abbey Equine Chepstow,https://www.abbeyequine.co.uk,"Ride and Stride, Chepstow, Gwent, NP16 6DN",01291 444877
Page 1 No 5,Abbey Equine Clinic,https://www.abbeyequine.co.uk,"Llansabbath Barns, Abergavenny, Monmouthshire, NP7 9BY",01873 840069
Page 1 No 6,Abbey Green Vets Ltd,https://www.abbeygreenvets.co.uk,"Church Close, Broadway, Worcestershire, WR12 7AH",01386 852421
Page 1 No 7,Abbey Green Vets Ltd,https://www.abbeygreenvets.co.uk,"Abbey Cottage, Cheltenham, Gloucestershire, GL54 5LW",01242 602235
Page 1 No 8,Abbeymoor Veterinary Centres Ltd,https://www.abbeymoorvets.com,"11 Abbey Lane, Sheffield, South Yorkshire, S8 0BJ",0114 274 7605
Page 1 No 9,Abbeymoor Veterinary Centres Ltd,https://www.abbeymoorvets.com,"110-116 Halifax Road, Sheffield, South Yorkshire, S6 1LH",0114 233 4673
Page 1 No 10,Abbeyserve Limited,https://www.abbeyvetgroup.co.uk,"248 Derby Road, Chellaston, Derbyshire, DE73 6RU",01332 700256
Page 2 No 1,Abbeyserve Limited,https://www.abbeyvetgroup.co.uk,"465/467 Nottingham Road, Derby, Derbyshire, DE21 6NA",01332 661554
Page 2 No 2,Abbey Veterinary Centre,https://www.abbeyvets.co.uk,"St Arvans Chambers, Abergavenny, Monmouthshire, NP7 5PR",01873 852391
Page 2 No 3,Abbey Veterinary Centre,https://www.abbeyvetsdurham.co.uk,"Pelton Fell Road, Chester Le Street, County Durham, DH2 2NG",0191 3871881
Page 2 No 4,Abbey Veterinary Centre,https://www.abbeyvetsdurham.co.uk,"Dunleigh House, Durham, County Durham, DH1 4HZ",0191 384 5115
Page 2 No 5,Abbey Veterinary Centre,https://www.abbeyvets.co.uk,"Unit 2, Monmouth, Monmouthshire, NP25 5BA",01600 711511
Page 2 No 6,Abbey Veterinary Centre,https://www.clarevetgroup.co.uk,"163 Doagh Road, Newtownabbey, Co Antrim, BT36 6AA",028 9036 5573
Page 2 No 7,Abbey Veterinary Centre,https://www.abbeyvets.co.uk,"1-2 Commercial Street, Tredegar, Gwent, NP22 3DH",01495 711277
Page 2 No 8,Abbey Veterinary Centre - Brecon,,"Ashfield Place, Brecon, Powys, LD3 8EG",01874 622464
Page 2 No 9,Abbey Veterinary Centre - Shrewsbury,https://abbeyvetsshrewsbury.co.uk,"16 Holywell Street, Shrewsbury, Shropshire, SY2 5DB",01743 232713
Page 2 No 10,Abbey Veterinary Clinic,https://www.abbeyvetgroupbarnsley.co.uk,"340 Manchester Road, Sheffield, South Yorkshire, S36 2RH",0114 2884 994
Page 3 No 1,Abbey Veterinary Clinic,https://www.abbeyvetgroupbarnsley.co.uk,"90 Wortley Road, Sheffield, South Yorkshire, S35 4LU",0114 284 8481
Page 3 No 2,Abbey Veterinary Group,https://www.abbeyvetgroupbarnsley.co.uk,"212 Barnsley Road, Barnsley, South Yorkshire, S72 8UJ",01226 716802
Page 3 No 3,Abbey Veterinary Group,https://www.abbeyvetgroupbarnsley.co.uk,"123 Midland Road, Barnsley, South Yorkshire, S71 4PX",01226 722773
Page 3 No 4,Abbey Veterinary Group,https://www.abbeyvetgroupbarnsley.co.uk,"89 Dodworth Road, Barnsley, South Yorkshire, S70 6ED",01226 242 217
Page 3 No 5,Abbey Veterinary Group,https://www.abbeyvetgroupbarnsley.co.uk,"15-17 Station Road, Barnsley, South Yorkshire, S73 0AH",01226 340029
Page 3 No 6,Abbey Veterinary Group,https://www.abbey-vetgroup.co.uk,"54 Murdieston Street, Greenock, Renfrewshire, PA15 4HU",01475 721155
Page 3 No 7,Abbey Veterinary Group,https://www.abbey-vetgroup.co.uk,"71 Canal Street, Paisley, Renfrewshire, PA1 2HP",0141 887 4111
Page 3 No 8,Abbey Veterinary Group Ltd,https://www.abbeyvetgroupbarnsley.co.uk,"23 Church Street, Barnsley, South Yorkshire, S75 5HF",01226 383 161
Page 3 No 9,Abbey Veterinary Group Ltd (Hoyland Branch),https://www.abbeyvetgroupbarnsley.co.uk,"1 West Street, Barnsley, South Yorkshire, S74 9AG",01226 747450
Page 3 No 10,Abercorn Veterinary Clinics,https://www.abercornvets.co.uk,"82 Raeburn Place, Edinburgh, EH4 1HH",0131 332 9207
